Location,500m_radius_impermeability_excl_water
DT1,0.93443
DN1,0.85239
DP1,0.90164
DT2,0.87038
DN2,0.88867
DP2,0.85833
DT3,0.99656
DN3,0.99771
DP3,0.95875
DP4,0.96431
GT1,0.74313
GN1,0.73610
GP1,0.45204
GT2,0.57152
GN2,0.54831
GT3,0.87572
GN3,0.87529
GP3,0.53026
WT1,0.59305
WN1,0.59661
WP1,0.45975
WT2,0.66638
WN2,0.58460
WP2,0.42221
WT3,0.48508
WN3,0.44397
WP3,0.47034
WT4,0.61586
WN4,0.65261
