Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
42,WT3,13:26,2025-06-20,3,Apidae,Ceratina,,,,,,1
92,DP3,13:04,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:05,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:07,2025-06-23,3,Apidae,Bombus,griseocollis,,,,,1
42,DP3,13:11,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:13,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:14,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:16,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:19,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:23,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:26,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:27,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:28,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:29,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:30,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
42,DP3,13:32,2025-06-23,3,Apidae,Apis,mellifera,,,1st,,0
42,DP3,13:32,2025-06-23,3,Apidae,Apis,mellifera,,,2nd,,0
42,DP3,13:32,2025-06-23,3,Apidae,Apis,mellifera,,,3rd,,0
73,DT1,15:24,2025-06-23,3,Apidae,Bombus,bimaculatus,,,,,1
42,DP3,13:04,2025-06-23,3,Apidae,Apis,mellifera,,,,,0
73,DT2,16:35,2025-06-25,3,Andrenidae,Andrena,,,,,,1
5,DP2,14:27,2025-06-25,3,Apidae,Apis,mellifera,,,,,0
5,DP2,14:28,2025-06-25,3,Apidae,Bombus,rufocintus,,,,,1
5,DP2,14:49,2025-06-25,3,Apidae,Bombus,griseocollis,,,,,1
108,GP1,10:16,2025-06-26,3,Apidae,Bombus,bimaculatus,,,,,1
111,GT2,11:04,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:05,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:08,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:10,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:11,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:13,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:14,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:17,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:18,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:20,2025-06-26,3,Apidae,Bombus,bimaculatus,,,,,1
111,GT2,11:20,2025-06-26,3,Apidae,Anthophora,terminalis,,,,,1
111,GT2,11:24,2025-06-26,3,Apidae,Anthophora,terminalis,,,1st,,1
111,GT2,11:24,2025-06-26,3,Apidae,Anthophora,terminalis,,,2nd,,1
112,GT3,11:32,2025-06-30,3,Halictidae,Halictus,ligatus,,,,,1
112,GT3,11:37,2025-06-30,3,Halictidae,Lasioglossum,,,,,,1
111,GT3,11:38,2025-06-30,3,Halictidae,Augochlorella ,,,,,,1
119,GT3,11:39,2025-06-30,3,Halictidae,Halictus,ligatus,,,,,1
115,GT3,11:45,2025-06-30,3,Halictidae,Halictus,ligatus,,,,,1
112,GT3,11:46,2025-06-30,3,Halictidae,Agapostemon,virescens,,,,,1
113,GT3,11:47,2025-06-30,3,Halictidae,Augochlorella,,,,,,1
115,GT3,11:52,2025-06-30,3,Halictidae,Augochlorella ,,,,,,1
112,GT3,11:54,2025-06-30,3,Halictidae,Agapostemon,virescens,,,,,1
112,GT3,11:59,2025-06-30,3,Halictidae,Augochlorella,,,,,,1
42,WT3,12:25,2025-06-30,4,Megachilidae,Megachile,,,,,,1
42,DP3,11:05,2025-07-02,4,Apidae,Apis,mellifera,,,1st,,0
42,DP3,11:05,2025-07-02,4,Apidae,Apis,mellifera,,,2nd,,0
42,DP3,11:06,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
94,DP3,11:07,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
94,DP3,11:12,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
42,DP3,11:12,2025-07-02,4,Apidae,Apis,mellifera,,,1st,,0
42,DP3,11:12,2025-07-02,4,Apidae,Apis,mellifera,,,2nd,,0
47,DP3,11:14,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
94,DP3,11:16,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
94,DP3,11:18,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
42,DP3,11:20,2025-07-02,4,Apidae,Apis,mellifera,,,1st,,0
42,DP3,11:20,2025-07-02,4,Apidae,Apis,mellifera,,,2nd,,0
42,DP3,11:23,2025-07-02,4,Apidae,Apis,mellifera,,,1st,,0
42,DP3,11:23,2025-07-02,4,Apidae,Apis,mellifera,,,2nd,,0
42,DP3,11:24,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
42,DP3,11:29,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
42,DP3,11:30,2025-07-02,4,Apidae,Apis,mellifera,,,2nd,,0
42,DP3,11:31,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
104,DT1,12:13,2025-07-02,4,Apidae,Bombus,griseocollis,,,,,1
104,DT1,12:20,2025-07-02,4,Apidae,Bombus,griseocollis,,,,,1
104,DT1,12:22,2025-07-02,4,Apidae,Ceratina,,,,,,1
104,DT1,12:24,2025-07-02,4,Apidae,Bombus,bimaculatus,,,,,1
104,DT1,12:27,2025-07-02,4,Apidae,Ceratina,,,,1st,,1
104,DT1,12:27,2025-07-02,4,Apidae,Bombus,bimaculatus,,,2nd,,1
104,DT1,12:29,2025-07-02,4,Apidae,Bombus,griseocollis,,,,,1
25,DT3,16:01,2025-07-02,4,Apidae,Apis,mellifera,,,,,0
120,DT3,16:29,2025-07-02,4,Apidae,Bombus,impatiens,,,,,1
42,DP3,11:11,2025-07-02,4,Colletidae,Hylaeus,,,,,,0
42,DP3,11:30,2025-07-02,4,Colletidae,Hylaeus,,,,1st,,1
104,DT1,12:26,2025-07-02,4,Colletidae,Hylaeus,,,,,,0
42,WT3,12:23,2025-07-03,4,Megachilidae,Megachile,,,,,,1
42,WT3,12:30,2025-07-03,4,Colletidae,Hylaeus,,,,,,0
42,WT3,12:32,2025-07-03,4,Megachilidae,Megachile,,,,,,1
42,WT3,12:36,2025-07-03,4,Megachilidae,Megachile,,,,,,1
42,WP1,13:36,2025-07-03,4,Megachilidae,Megachile,,,,1st,,1
42,WP1,13:36,2025-07-03,4,Megachilidae,Megachile,latimanus,,,2nd,,1
42,WP1,13:38,2025-07-03,4,Megachilidae,Megachile,latimanus,,,,,1
42,WP1,13:55,2025-07-03,4,Megachilidae,Megachile,latimanus,,,,,1
111,GT3,13:57,2025-07-03,4,Megachilidae,Anthidium,manicatum,,,,,0
42,GT3,13:59,2025-07-03,4,Megachilidae,Megachile,,,,,,1
5,WT1,9:49,2025-07-03,4,Halictidae,Agapostemon,virescens,,,,,1
5,WT1,10:09,2025-07-03,4,Halictidae,Augochlorella,,,,,,1
42,WT3,12:36,2025-07-03,4,Halictidae,Lasioglossum,,,,,,1
42,WT3,12:38,2025-07-03,4,Halictidae,Augochlorella ,,,,,,1
5,DP2,11:59,2025-07-04,4,Halictidae,Halictus,ligatus,,,,,1
107,DT2,12:35,2025-07-04,4,Halictidae,Lasioglossum,,,,,,1
107,DT2,12:41,2025-07-04,4,Halictidae,Lasioglossum,,,,,,1
107,DT2,12:43,2025-07-04,4,Halictidae,Halictus,confusus,,,,,1
107,DT2,12:46,2025-07-04,4,Halictidae,Halictus,confusus,,,,,1
122,DP2,11:55,2025-07-04,4,Colletidae,Hylaeus,,,,,,1
107,DT2,12:40,2025-07-04,4,Colletidae,Hylaeus,,,,,,1
42,DP2,11:30,2025-07-04,4,Apidae,Apis,mellifera,,,1st,,0
42,DP2,11:30,2025-07-04,4,Apidae,Apis,mellifera,,,2nd,,0
42,DP2,11:33,2025-07-04,4,Apidae,Bombus,griseocollis,,,,,1
42,DP2,11:36,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
5,DP2,11:38,2025-07-04,4,Apidae,Apis,mellifera,,,1st,,0
5,DP2,11:38,2025-07-04,4,Apidae,Bombus,bimaculatus,,,2nd,,1
42,DP2,11:43,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
5,DP2,11:44,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
42,DP2,11:44,2025-07-04,4,Apidae,Bombus,mixtus,,,,,
42,DP2,11:49,2025-07-04,4,Apidae,Bombus,griseocollis,,,,,1
42,DP2,12:22,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
42,DP2,12:25,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
107,DT2,12:50,2025-07-04,4,Apidae,Apis,mellifera,,,,,0
42,DP2,11:49,2025-07-04,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,9:51,2025-07-07,4,Apidae,Apis,mellifera,,,,,0
42,GT1,9:59,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:00,2025-07-07,4,Apidae,Bombus,perplexus ,,,,,
42,GT1,10:02,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:13,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:15,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:19,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
42,GT1,10:20,2025-07-07,4,Apidae,Bombus,griseocollis,,,,,1
112,GT3,13:34,2025-07-08,4,Apidae,Melissodes,,,,,,1
115,GT3,13:34,2025-07-08,4,Apidae,Triepeolus,,,,,,1
116,GT3,13:35,2025-07-08,4,Apidae,Melissodes,,,,,,1
113,GT3,13:38,2025-07-08,4,Apidae,Apis,mellifera,,,,,0
114,GT3,13:40,2025-07-08,4,Apidae,Apis,mellifera,,,,,0
115,GT3,13:46,2025-07-08,4,Apidae,Melissodes,,,,,,1
115,GT3,13:46,2025-07-08,4,Apidae,Melissodes,,,,,,1
115,GT3,13:47,2025-07-08,4,Apidae,Bombus,bimaculatus,,,,,1
113,GT3,13:48,2025-07-08,4,Apidae,Apis,mellifera,,,,,0
115,GT3,13:52,2025-07-08,4,Apidae,Melissodes,,,,,,1
115,GT3,13:55,2025-07-08,4,Apidae,Melissodes,,,,,,1
42,GT3,13:58,2025-07-08,4,Apidae,Bombus,griseocollis,,,,,1
114,GT3,14:01,2025-07-08,4,Apidae,Apis,mellifera,,,,,0
115,GT3,14:03,2025-07-08,4,Apidae,Melissodes,,,,,,
124,GT2,16:38,2025-07-08,4,Apidae,Bombus,bimaculatus,,,,,1
124,GT2,16:40,2025-07-08,4,Apidae,Anthophora,terminalis,,,,,1
112,GT2,16:41,2025-07-08,4,Apidae,Melissodes,,,,,,1
113,GT2,16:41,2025-07-08,4,Apidae,Melissodes,,,,,,1
112,GT2,16:42,2025-07-08,4,Apidae,Melissodes,,,,,,1
112,GT2,16:43,2025-07-08,4,Apidae,Melissodes,,,,,,1
112,GT2,16:46,2025-07-08,4,Apidae,Melissodes,,,,,,1
124,GT2,16:50,2025-07-08,4,Apidae,Anthophora,terminalis,,,,,1
124,GT2,16:52,2025-07-08,4,Apidae,Ceratina,,,,,,1
124,GT2,16:52,2025-07-08,4,Apidae,Anthophora,terminalis,,,,,1
113,GT2,16:56,2025-07-08,4,Apidae,Melissodes,,,,,,1
124,GT2,16:59,2025-07-08,4,Apidae,Anthophora,terminalis,,,,,1
112,GT2,17:01,2025-07-08,4,Apidae,Melissodes,,,,,,1
113,GT2,17:04,2025-07-08,4,Apidae,Melissodes,,,,,,1
113,GT2,17:05,2025-07-08,4,Apidae,Melissodes,,,,,,1
111,GT3,13:39,2025-07-08,4,Colletidae,Hylaeus,,,,,,1
115,GT3,13:37,2025-07-08,4,Halictidae,Halictus,ligatus,,,,,1
117,GT3,13:40,2025-07-08,4,Halictidae,Halictus,ligatus,,,,,1
115,GT3,13:42,2025-07-08,4,Halictidae,Halictus,ligatus,,,,,1
123,GT3,13:49,2025-07-08,4,Halictidae,Halictus,ligatus,,,,,1
111,GT3,13:50,2025-07-08,4,Halictidae,Lasioglossum,imitatum,,,,,1
113,GT3,13:52,2025-07-08,4,Halictidae,Augochlorella ,,,,,,1
115,GT3,13:56,2025-07-08,4,Halictidae,Halictus,ligatus,,,,,1
111,GT3,13:59,2025-07-08,4,Halictidae,Lasioglossum,imitatum,,,,,1
