Site ,Date,Replicate,Species ID,# of Flowering Units
DP1,15/5/25,1,21,7
DP1,15/5/25,1,29,438
DP1,15/5/25,1,30,303
DN1,15/5/25,1,21,3
DT1,15/5/25,1,21,8
DT2,16/5/25,1,21,4
DT2,16/5/25,1,41,53
DN2,16/5/25,1,21,131
DT3,16/5/25,1,43,12
DN3,16/5/25,1,21,24
WT1,26/5/25,1,21,6
WT1,26/5/25,1,52,192
WT1,26/5/25,1,54,16
WT1,26/5/25,1,59,6
WN1,26/5/25,1,21,2
WN1,26/5/25,1,54,52
WN1,26/5/25,1,55,12
WP1,26/5/25,1,54,486
WP1,26/5/25,1,56,288
WP1,26/5/25,1,57,277
GT1,27/5/25,1,52,609
GN1,27/5/25,1,21,1
GP1,27/5/25,1,52,46
GP1,27/5/25,1,61,9210
GT2,27/5/25,1,62,16
GT2,27/5/25,1,63,36
GN2,27/5/25,1,21,1
WT2,30/5/25,1,55,74
WT2,30/5/25,1,64,3
WN2,30/5/25,1,54,23
WN2,30/5/25,1,55,29
WT3,30/5/25,1,21,1
WT3,30/5/25,1,65,474
WN3,30/5/25,1,23,2
DP2,2/6/25,1,26,759
WN2,3/6/25,2,54,21
WN2,3/6/25,2,55,54
WT2,3/6/25,2,55,15
WT2,3/6/25,2,64,275
WT1,3/6/25,2,61,321
WN1,3/6/25,2,21,3
WN1,3/6/25,2,66,2
WN1,3/6/25,2,64,193
WN1,3/6/25,2,23,12
WN1,3/6/25,2,54,11
WP1,3/6/25,2,56,141
WP1,3/6/25,2,67,28
WN3,3/6/25,2,23,13
WN3,3/6/25,2,25,1
WN3,3/6/25,2,55,5
WT3,3/6/25,2,65,229
WT3,3/6/25,2,21,1
DT3,4/6/25,3,44,17
DT3,4/6/25,3,43,10
DT3,4/6/25,3,55,1
DT3,4/6/25,3,67,6
DN3,4/6/25,3,20,7
WN1,8/6/25,3,23,4
WN1,8/6/25,3,55,105
WN1,8/6/25,3,68,1
WT1,8/6/25,3,52,122
WT1,8/6/25,3,53,12
WT1,8/6/25,3,102,6
DP1,10/6/25,2,36,5
DP1,10/6/25,2,69,2
DT1,11/6/25,2,36,143
DT1,11/6/25,2,70,5
DT1,11/6/25,2,57,1268
DT2,11/6/25,2,22,3
DT2,11/6/25,2,23,2
DT2,11/6/25,2,41,17
DT2,11/6/25,2,55,512
DT2,11/6/25,2,70,2
DT2,11/6/25,2,71,1
GT1,16/6/25,2,68,232
GT1,16/6/25,2,73,11
GN1,16/6/25,2,23,1
GN1,16/6/25,2,55,20
GN2,16/6/25,2,23,2
GT2,16/6/25,2,44,44
GP1,16/6/25,2,75,33
GP1,16/6/25,2,74,63
GP1,16/6/25,2,74,72
GP1,16/6/25,2,61,768
GT3,17/6/25,2,74,118
GT3,17/6/25,2,75,6
GT3,17/6/25,2,76,2
GT3,17/6/25,2,76,4
GT3,17/6/25,2,77,9
GT3,17/6/25,2,78,117
GT3,17/6/25,2,55,1
GT3,17/6/25,2,79,1
GN3,17/6/25,2,55,3
DP3,17/6/25,2,95,15
DP3,17/6/25,2,94,653
DP3,17/6/25,2,42,12
DP3,17/6/25,2,95,9
DN3,17/6/25,3,21,1
DT3,17/6/25,3,97,9
DT3,17/6/25,3,98,10
DT3,17/6/25,3,96,89
DT3,17/6/25,3,55,139
DT3,17/6/25,3,1,2
DT3,17/6/25,3,99,7
WP1,19/6/25,3,68,510
WP1,19/6/25,3,100,658
WP1,19/6/25,3,100,54
WP1,19/6/25,3,23,3
WP1,19/6/25,3,55,5
WP1,19/6/25,3,73,35
WN1,20/6/25,3,55,117
WN1,20/6/25,3,68,16
WN1,20/6/25,3,23,4
WN1,20/6/25,3,22,5
WN1,20/6/25,3,101,2
WT1,20/6/25,3,55,7
WT1,20/6/25,3,102,5
WT1,20/6/25,3,103,3
WT3,20/6/25,3,42,51
WN3,20/6/25,3,23,57
DP3,23/6/25,3,42,49
DP3,23/6/25,3,95,122
DP3,23/6/25,3,94,32
DN1,23/6/25,3,105,4
DT1,23/6/25,3,73,17
DT1,23/6/25,3,104,3
GN1,24/6/25,3,22,1
GN1,24/6/25,3,23,5
GN1,24/6/25,3,55,62
GT1,24/6/25,3,42,15
GT1,24/6/25,3,5,9
GT1,24/6/25,3,106,1
GT1,24/6/25,3,68,57
WT4,25/6/25,3,23,10
WT4,25/6/25,3,5,49
WT4,25/6/25,3,42,1
WT4,25/6/25,3,103,28
WT4,25/6/25,3,68,1
DP2,25/6/25,3,5,61
DP2,25/6/25,3,42,44
DP2,25/6/25,3,107,53
DP2,25/6/25,3,73,50
DT2,25/6/25,3,107,215
DT2,25/6/25,3,73,18
DT2,25/6/25,3,68,54
DT2,25/6/25,3,55,44
DN2,25/6/25,3,23,1
GP1,26/6/25,3,61,7
GP1,26/6/25,3,108,3
GP1,26/6/25,3,109,425
GP1,26/6/25,3,105,3
GP1,26/6/25,3,110,2
GT2,26/6/25,3,111,461
GT2,26/6/25,3,112,22
GT2,26/6/25,3,62,1
GN2,26/6/25,3,23,65
GN2,26/6/25,3,55,5
GT3,30/6/25,3,116,147
GT3,30/6/25,3,115,80
GT3,30/6/25,3,42,5
GT3,30/6/25,3,113,17
GT3,30/6/25,3,111,1038
GT3,30/6/25,3,117,5
GT3,30/6/25,3,55,49
GN2,30/6/25,4,55,3
GN2,30/6/25,4,23,32
DP3,2/7/25,4,42,90
DP3,2/7/25,4,94,170
DP3,2/7/25,4,95,127
DT1,2/7/25,4,104,11
DT1,2/7/25,4,106,4
DN1,2/7/25,4,55,1
DN1,2/7/25,4,118,96
DT3,2/7/25,4,25,35
DT3,2/7/25,4,42,3
DT3,2/7/25,4,119,1
DT3,2/7/25,4,120,62
WT1,2/7/25,4,5,81
WT1,2/7/25,4,121,6
WT1,2/7/25,4,1,40
WT1,2/7/25,4,55,5
WN1,2/7/25,4,23,3
WN1,2/7/25,4,55,27
WN1,2/7/25,4,68,52
WN3,2/7/25,4,23,8
WN3,2/7/25,4,55,5
WT3,2/7/25,4,42,12
WT3,2/7/25,4,5,3
WP1,2/7/25,4,42,59
WP1,2/7/25,4,5,6
WP1,2/7/25,4,103,42
DN2,4/7/25,4,55,1
DN2,4/7/25,4,68,3
DP2,4/7/25,4,5,35
DP2,4/7/25,4,42,16
DP2,4/7/25,4,73,27
DP2,4/7/25,4,107,73
DP2,4/7/25,4,122,5
DT2,4/7/25,4,68,32
DT2,4/7/25,4,107,201
DT2,4/7/25,4,73,8
DT2,4/7/25,4,42,4
DT2,4/7/25,4,103,1
GT1,4/7/25,4,5,4
GT1,4/7/25,4,42,30
GT1,4/7/25,4,68,20
GT1,4/7/25,4,106,1
GT1,4/7/25,4,123,4
GN2,4/7/25,4,23,15
GN2,4/7/25,4,55,3
GT3,8/7/25,4,42,35
GT3,8/7/25,4,115,189
GT3,8/7/25,4,123,8
GT3,8/7/25,4,114,28
GT3,8/7/25,4,111,433
GT3,8/7/25,4,117,8
GT3,8/7/25,4,113,38
GT3,8/7/25,4,112,4
GT3,8/7/25,4,116,54
GT3,8/7/25,4,59,2
GT2,8/7/25,4,112,30
GT2,8/7/25,4,124,165
GT2,8/7/25,4,125,20
GT2,8/7/25,4,113,33
GT2,8/7/25,4,126,5
GT2,8/7/25,4,111,2
GT2,8/7/25,4,117,1
GN1,9/7/25,4,55,4
GP1,9/7/25,4,23,14
GP1,9/7/25,4,55,1
GP1,9/7/25,4,129,8
GP1,9/7/25,4,130,2
GP1,9/7/25,4,131,92
GP1,9/7/25,4,132,125
WT3,10/7/25,5,133,11
WT3,10/7/25,5,5,1
WN3,10/7/25,5,68,6
WN3,10/7/25,5,23,8
WN3,10/7/25,5,134,1
WT1,10/7/25,5,103,51
WT1,10/7/25,5,134,13
WT1,10/7/25,5,135,1
WN1,11/7/25,5,68,52
WP1,11/7/25,5,73,321
WP1,11/7/25,5,5,44
DP3,11/7/25,5,130,282
DP3,11/7/25,5,42,11
DP3,11/7/25,5,137,454
DP3,11/7/25,5,138,14
DN1,11/7/25,5,21,1
DT1,11/7/25,5,104,9
GN2,12/7/25,5,23,1
GT2,12/7/25,5,124,361
GT2,12/7/25,5,125,6
GT2,12/7/25,5,113,24
GT2,12/7/25,5,136,5
GT2,12/7/25,5,112,9
GP1,12/7/25,5,5,24
GP1,12/7/25,5,134,16
GP1,12/7/25,5,68,73
DN3,15/7/25,5,139,5
DT3,15/7/25,5,48,3
DT3,15/7/25,5,94,54
DT3,15/7/25,5,134,1
GN1,16/7/25,5,55,10
GT1,16/7/25,5,5,4
GT1,16/7/25,5,134,16
GT1,16/7/25,5,106,2
GT1,16/7/25,5,133,1
GN3,16/7/25,5,55,2
GT3,16/7/25,5,140,4
GT3,16/7/25,5,119,553
GT3,16/7/25,5,42,28
GT3,16/7/25,5,114,8
