Site,Road Width (m),,,,,
DT1,20.00,,,,,
DN1,17.19,,,,,
DT2,13.46,,,,,
DN2,9.78,,,,,
DT3,8.0,,,,,
DN3,7.79,,,,,
GT1,7.25,,,,,
GN1,7.46,,,,,
GT2,17.28,,,,,
GN2,17.28,,,,,
GT3,8.69,,,,,
GN3,8.65,,,,,
WT1,15.77,,,,,
WN1,12.42,,,,,
WT2,6.99,,,,,
WN2,8.50,,,,,
WT3,8.64,,,,,
WN3,8.67,,,,,
WT4,7.67,,,,,
WN4,9.79,,,,,
